amspdwy.zip,American Speedway (set 1),Enerdyne Technologies Inc.
amspdwya.zip,American Speedway (set 2),Enerdyne Technologies Inc.
amuse.zip,Amuse (Version 50.08 IBA),Greyhound Electronics
amuse1.zip,Amuse (Version 30.08 IBA),Greyhound Electronics
amuse1a.zip,Amuse (Version 30.08A),Greyhound Electronics
amzqnar.zip,Amazon Queen (10005511, NSW/ACT),Aristocrat
amzteml.zip,Amazon Temple (10299811, NSW/ACT),Aristocrat
ancienta.zip,Ancient Atlantis (set 1),Novotech
ancientaa.zip,Ancient Atlantis (set 2),Novotech
ancientab.zip,Ancient Atlantis (set 3),Novotech
ancientac.zip,Ancient Atlantis (set 4),Novotech
ancientad.zip,Ancient Atlantis (set 5),Novotech
andretti.zip,Mario Andretti,Gottlieb
andretti4.zip,Mario Andretti (rev.T4),Gottlieb
androdun.zip,Andro Dunos (NGM-049 ~ NGH-049),Visco
androidp.zip,Android (prototype, later build),Nasco
androidpo.zip,Android (prototype, early build),Nasco
andromep.zip,Andromeda (set 1),Game Plan
andromepa.zip,Andromeda (set 2),Game Plan
anibonus.zip,Animal Bonus (Version 1.8E Dual),Amcoe
anibonusb1.zip,Animal Bonus (Version 1.7R, set 1),Amcoe
anibonusb2.zip,Animal Bonus (Version 1.7LT, set 1),Amcoe
anibonusd1.zip,Animal Bonus (Version 1.7R, set 2),Amcoe
anibonusd2.zip,Animal Bonus (Version 1.7LT, set 2),Amcoe
anibonuso.zip,Animal Bonus (Version 1.5),Amcoe
anibonuso2.zip,Animal Bonus (Version 1.4, set 1),Amcoe
anibonuso3.zip,Animal Bonus (Version 1.4, set 2),Amcoe
anibonusv1.zip,Animal Bonus (Version 1.8R Dual),Amcoe
anibonusv2.zip,Animal Bonus (Version 1.8LT Dual),Amcoe
anibonusxo.zip,Animal Bonus (Version 1.50XT),Amcoe
anibonusxo2.zip,Animal Bonus (Version 1.40XT, set 1),Amcoe
anibonusxo3.zip,Animal Bonus (Version 1.40XT, set 2),Amcoe
animalc.zip,Animal Catch,Sammy
animaljr.zip,Exciting Animal Land Jr. (USA),Nakanihon / East Technology (Taito license)
animpkr.zip,unknown animal-themed game (bottom),<unknown>
animpkra.zip,unknown animal-themed game (top),<unknown>
anithunt.zip,Animal Treasure Hunt (Version 1.9R, set 1),Amcoe
anithuntd1.zip,Animal Treasure Hunt (Version 1.9R, set 2),Amcoe
anithunto.zip,Animal Treasure Hunt (Version 1.7),Amcoe
anithunto2.zip,Animal Treasure Hunt (Version 1.5),Amcoe
anithuntv1.zip,Animal Treasure Hunt (Version 1.9R Dual),Amcoe
anmlbskt.zip,Animal Basket,MOSS / Sammy
antar.zip,Antar (set 1),Playmatic
antar2.zip,Antar (set 2),Playmatic
antcleo.zip,Antony and Cleopatra (10177211, Malaysia),Aristocrat
anteater.zip,Anteater,Tago Electronics
anteateruk.zip,The Anteater (UK),Tago Electronics (Free Enterprise Games license
antiairc.zip,Anti-Aircraft [TTL],Atari
antic.zip,Atari ANTIC,Atari
aodk.zip,Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008 ~ ADH-008),ADK / SNK
aof.zip,Art of Fighting / Ryuuko no Ken (NGM-044 ~ NGH-044),SNK
aof2.zip,Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056),SNK
aof2a.zip,Art of Fighting 2 / Ryuuko no Ken 2 (NGH-056),SNK
aof3.zip,Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden,SNK
aoh.zip,Age Of Heroes - Silkroad 2 (v0.63 - 2001/02/07),Unico
apache3.zip,Apache 3,Tatsumi
apache3a.zip,Apache 3 (Kana Corporation license),Tatsumi (Kana Corporation license)
apb.zip,APB - All Points Bulletin (rev 7),Atari Games
apb1.zip,APB - All Points Bulletin (rev 1),Atari Games
apb2.zip,APB - All Points Bulletin (rev 2),Atari Games
apb3.zip,APB - All Points Bulletin (rev 3),Atari Games
apb4.zip,APB - All Points Bulletin (rev 4),Atari Games
apb5.zip,APB - All Points Bulletin (rev 5),Atari Games
apb6.zip,APB - All Points Bulletin (rev 6),Atari Games
apbf.zip,APB - All Points Bulletin (French),Atari Games
apic.zip,I/O Advanced Programmable Interrupt Controller,Atari Games
aplatoon.zip,Platoon V.3.1 US,Nova?
apocof.zip,Apollo Coffee (0151105, US),Aristocrat
apollo13.zip,Apollo 13 (5.01),Sega
apollo13_10.zip,Apollo 13 (1.00),Sega
apple10.zip,Apple 10 (Ver 1.21),Sandii'
appoooh.zip,Appoooh,Sanritsu / Sega
aquajack.zip,Aqua Jack (World),Taito Corporation Japan
aquajacku.zip,Aqua Jack (US),Taito America Corporation
aquajet.zip,Aqua Jet (Rev. AJ2 Ver.B),Namco
aqualand.zip,Aqualand,Juegos Populares
aquarium.zip,Aquarium (US),Excellent System
aquastge.zip,Aqua Stage,Sega
ar_airh.zip,SportTime Table Hockey (Arcadia, set 1, V 2.1),Arcadia Systems
ar_airh2.zip,SportTime Table Hockey (Arcadia, set 2),Arcadia Systems
ar_argh.zip,Aaargh (Arcadia),Arcadia Systems
ar_bios.zip,Arcadia System BIOS,Arcadia Systems
ar_blast.zip,Blastaball (Arcadia, V 2.1),Arcadia Systems
ar_bowl.zip,SportTime Bowling (Arcadia, V 2.1),Arcadia Systems
ar_dart.zip,World Darts (Arcadia, set 1, V 2.1),Arcadia Systems
ar_dart2.zip,World Darts (Arcadia, set 2),Arcadia Systems
ar_dlta.zip,Delta Command (Arcadia),Arcadia Systems
ar_fast.zip,Magic Johnson's Fast Break (Arcadia, V 2.8),Arcadia Systems
ar_fasta.zip,Magic Johnson's Fast Break (Arcadia, V 2.7),Arcadia Systems
ar_ldrb.zip,Leader Board (Arcadia, set 1, V 2.5),Arcadia Systems
ar_ldrba.zip,Leader Board (Arcadia, set 2, V 2.4),Arcadia Systems
ar_ldrbb.zip,Leader Board (Arcadia, set 3),Arcadia Systems
ar_ninj.zip,Ninja Mission (Arcadia, set 1, V 2.5),Arcadia Systems
ar_ninj2.zip,Ninja Mission (Arcadia, set 2),Arcadia Systems
ar_pm.zip,Pharaohs Match (Arcadia),Arcadia Systems
ar_rdwr.zip,RoadWars (Arcadia, V 2.3),Arcadia Systems
ar_sdwr.zip,Sidewinder (Arcadia, set 1, V 2.1),Arcadia Systems
ar_sdwr2.zip,Sidewinder (Arcadia, set 2),Arcadia Systems
ar_socc.zip,World Trophy Soccer (Arcadia, V 3.0),Arcadia Systems
ar_spot.zip,Spot (Arcadia, V 2.0),Arcadia Systems
ar_sprg.zip,Space Ranger (Arcadia, V 2.0),Arcadia Systems
ar_xeon.zip,Xenon (Arcadia, V 2.3),Arcadia Systems
arabfgt.zip,Arabian Fight (World),Sega
arabfgtu.zip,Arabian Fight (US),Sega
arabian.zip,Arabian,Sun Electronics
arabiana.zip,Arabian (Atari),Sun Electronics (Atari license)
arabianm.zip,Arabian Magic (Ver 1.0O 1992/07/06),Taito Corporation Japan
arabianmj.zip,Arabian Magic (Ver 1.0J 1992/07/06),Taito Corporation
arabianmu.zip,Arabian Magic (Ver 1.0A 1992/07/06),Taito America Corporation
arac6000.zip,Super Six Plus II English Mark Darts,Arachnid
arbalest.zip,Arbalester,Seta
arbngts.zip,Arabian Nights (0151356, US),Aristocrat
arbnigar.zip,Arabian Nights (2J008211, NSW/ACT),Aristocrat
arcadecl.zip,Arcade Classics (prototype),Atari Games
arcadian.zip,Arcadia (NMK),NMK
